a,b,LABEL
0.0646, 4.9829 , Fatal
0.0889, 5.1455 , Fatal
0.0136, 4.8310 , Fatal
0.1260, 5.1382 , Fatal
0.0882, 5.1716 , Fatal
0.0467, 4.9169 , Fatal
0.0697, 5.1076 , Fatal
0.0849, 5.0477 , Fatal
0.1094, 5.0974 , Fatal
0.0952, 5.2450 , Fatal
0.0706, 4.8048 , Fatal
0.1017, 5.1213 , Fatal
0.0291, 5.3363 , Fatal
0.0414, 5.0071 , Fatal
0.0594, 5.0996 , Fatal
0.0497, 4.8398 , Fatal
0.0095, 4.9397 , Fatal
0.0267, 4.8480 , Fatal
0.0773, 4.9551 , Fatal
0.0498, 4.9728 , Fatal
0.0963, 4.8088 , Fatal
0.0337, 4.7301 , Fatal
0.0382, 5.0727 , Fatal
0.0739, 5.2756 , Fatal
0.0782, 4.9042 , Fatal
0.0540, 4.5767 , Fatal
0.1106, 5.1425 , Fatal
0.0719, 4.9993 , Fatal
-0.0077, 5.1656 , Fatal
0.0710, 4.8500 , Fatal
0.1137, 4.6793 , Fatal
0.0929, 4.9614 , Fatal
0.0636, 4.9694 , Fatal
0.0843, 5.0502 , Fatal
0.0450, 5.2444 , Fatal
0.0693, 4.7863 , Fatal
0.0568, 4.7028 , Fatal
0.0371, 5.1707 , Fatal
0.9336, 8.3585 , Fatal
0.2915, 9.3464 , Fatal
-0.3301, 1.4563 , Fatal
-0.5147, 3.3439 , Ok
-0.4366, 5.4221 , Fatal
0.0724, 3.3639 , Ok
-0.6896, 2.2697 , Ok
0.2769, 3.5878 , Fatal
0.3817, 1.8642 , Ok
-0.9630, 2.5269 , Ok
-0.8350, 1.4088 , Ok
-0.1177, 4.4108 , Fatal
-0.3781, 7.2729 , Ok
0.3472, 3.8050 , Ok
0.0500, 5.3659 , Fatal
0.4197, 4.3401 , Ok
0.4080, 4.2470 , Ok
0.6034, 8.0479 , Fatal
-0.9267, 8.9181 , Fatal
-0.6548, 2.2667 , Ok
0.5716, 3.9826 , Ok
-0.2080, 4.8131 , Ok
-0.3334, 1.8266 , Ok
0.3447, 2.5729 , Ok
-0.6200, 6.9370 , Ok
0.4478, 0.7257 , Fatal
0.1112, 8.0979 , Ok
-0.8119, 3.5891 , Fatal
-0.9580, 5.4336 , Fatal
0.8964, 6.6654 , Ok
-0.5941, 1.3917 , Fatal
0.1026, 4.1779 , Ok
0.0126, 8.6880 , Fatal
-0.3924, 3.0433 , Ok
0.1977, 3.5149 , Fatal
0.0874, 4.5754 , Fatal
-0.1012, 8.2072 , Ok
-0.3605, 4.9793 , Ok
-0.0399, 3.0122 , Ok
-0.4985, 8.0553 , Fatal
0.1354, 3.5369 , Ok
0.1563, 5.8418 , Ok
0.5051, 2.1651 , Fatal
0.5966, 2.1382 , Ok
0.4901, 6.3790 , Ok
-0.6476, 6.7688 , Ok
-0.8910, 9.4026 , Ok
0.8513, 0.1992 , Fatal
-0.4912, 4.0600 , Fatal
0.5565, 0.5474 , Ok
-0.7815, 6.7906 , Fatal
-0.8297, 7.0096 , Ok
-0.7694, 7.2453 , Ok
-0.8725, 6.8901 , Ok
-0.8277, 7.1570 , Ok
-0.7640, 7.1107 , Ok
-0.7713, 7.1968 , Ok
-0.8367, 7.1159 , Ok
-0.7432, 7.1521 , Ok
-0.8097, 7.1737 , Ok
-0.8710, 7.0805 , Ok
-0.7195, 7.4820 , Ok
-0.7990, 7.0672 , Ok
-0.7704, 6.9961 , Ok
-0.7799, 7.2163 , Ok
-0.7709, 7.0661 , Ok
-0.8199, 7.0157 , Ok
-0.7447, 7.0654 , Ok
-0.8101, 7.7159 , Ok
-0.7672, 6.9489 , Ok
-0.8353, 6.8817 , Ok
-0.7398, 6.7392 , Ok
-0.7443, 7.1970 , Fatal
-0.7652, 7.1976 , Ok
-0.7473, 7.0923 , Ok
-0.7678, 7.2887 , Ok
-0.8145, 7.2365 , Ok
-0.7706, 7.2482 , Ok
-0.8048, 6.8148 , Ok
-0.8619, 7.1415 , Ok
-0.8181, 6.9818 , Ok
-0.8413, 6.7152 , Ok
-0.8155, 7.0961 , Ok
-0.8027, 7.0880 , Ok
-0.7952, 6.9922 , Ok
-0.8099, 7.0723 , Ok
-0.7774, 6.8046 , Ok
-0.7767, 7.0814 , Ok
-0.8179, 6.9331 , Ok
-0.8338, 6.9802 , Ok
-0.7583, 7.2700 , Ok
-0.8135, 7.0841 , Ok
-0.8210, 6.6063 , Ok
-0.8423, 6.9408 , Ok
-0.7652, 6.6807 , Ok
-0.7902, 7.3016 , Ok
-0.8129, 7.2019 , Ok
-0.7847, 6.6699 , Ok
-0.8524, 7.1005 , Ok
-0.8001, 6.9612 , Ok
-0.7808, 6.7469 , Ok
-0.7983, 6.6125 , Ok
-0.7602, 6.7746 , Ok
-0.8261, 6.6669 , Ok
-0.7595, 6.8701 , Ok
-0.8185, 6.9905 , Ok
-0.8320, 7.1641 , Ok
-0.7999, 6.6596 , Ok
-0.7605, 7.2025 , Ok
-0.7589, 7.2470 , Ok
-0.8473, 6.9282 , Ok
-0.8290, 7.0419 , Ok
-0.7598, 6.5943 , Ok
-0.8071, 7.0762 , Ok
-0.8302, 7.1877 , Ok
-0.7215, 6.8304 , Ok
-0.7727, 7.2470 , Ok
-0.7455, 6.9464 , Ok
-0.8547, 7.0231 , Ok
-0.8689, 7.1200 , Ok
-0.8795, 6.9316 , Ok
-0.8802, 6.7396 , Ok
-0.7964, 7.2696 , Ok
-0.8428, 7.2220 , Ok
-0.7306, 6.6466 , Ok
-0.8189, 7.1176 , Ok
-0.7965, 7.1909 , Ok
-0.7933, 6.8798 , Fatal
-0.8018, 7.1828 , Ok
-0.7738, 6.8764 , Ok
-0.8295, 7.0134 , Ok
-0.7426, 7.1187 , Ok
-0.7704, 7.0389 , Ok
-0.7845, 7.0751 , Ok
-0.7994, 7.2090 , Ok
-0.7696, 6.6969 , Ok
-0.8305, 7.0694 , Ok
-0.7929, 6.9970 , Ok
-0.8289, 6.8739 , Ok
-0.7425, 6.8638 , Ok
-0.7864, 7.2077 , Ok
-0.7279, 7.2057 , Ok
-0.7102, 7.2435 , Ok
-0.8392, 6.9369 , Ok
-0.8403, 7.0712 , Ok
-0.7865, 7.2032 , Ok
-0.8065, 6.9232 , Ok
-0.8344, 7.1248 , Ok
-0.7794, 6.9832 , Ok
-0.7831, 7.2069 , Fatal
0.0185, 2.0727 , Ok
0.8036, 7.3684 , Ok
0.9310, 5.5125 , Ok
-0.3964, 2.1653 , Fatal
-0.7027, 8.0223 , Ok
-0.9601, 1.7197 , Fatal
-0.8825, 0.1115 , Ok
-0.0404, 9.1382 , Ok
-0.8530, 4.8935 , Ok
-0.8633, 1.1083 , Ok
-0.7553, 4.6734 , Fatal
-0.6902, 4.7663 , Ok
-0.2644, 3.6527 , Ok
0.4264, 4.4065 , Ok
0.9287, 9.3585 , Fatal
-0.6494, 2.4784 , Ok
0.3989, 5.3762 , Ok
0.9666, 5.7027 , Fatal
-0.4686, 1.8643 , Ok
0.1502, 8.4826 , Ok
0.6023, 0.7770 , Ok
-0.6407, 1.1039 , Ok
-0.7999, 5.1448 , Ok
0.3430, 7.0755 , Ok
-0.2504, 0.3583 , Fatal
0.3142, 4.4505 , Fatal
0.3099, 2.8952 , Fatal
0.5477, 8.0764 , Fatal
-0.6444, 5.3251 , Ok
-0.8469, 3.4817 , Ok
-0.1462, 0.9229 , Ok
-0.9322, 5.8509 , Ok
-0.8892, 0.4380 , Ok
0.8280, 5.4251 , Ok
0.5293, 8.7278 , Fatal
-0.7480, 2.3768 , Ok
0.4736, 6.7359 , Ok
-0.6345, 5.6633 , Ok
0.1769, 9.4103 , Ok
-0.6512, 9.3250 , Fatal
0.2801, 5.8002 , Fatal
-0.2210, 2.5913 , Ok
-0.5837, 3.5805 , Ok
0.0130, 4.2493 , Fatal
0.4199, 8.7978 , Fatal
0.5302, 5.3482 , Ok
0.3759, 5.6389 , Fatal
0.0831, 5.1373 , Ok
-0.9448, 1.0180 , Fatal
0.2081, 0.3519 , Ok
-0.4155, 1.0384 , Fatal
-0.3524, 1.2849 , Fatal
-0.3769, 0.9622 , Fatal
-0.3717, 0.9942 , Fatal
-0.3828, 0.9134 , Fatal
-0.3606, 0.8221 , Fatal
-0.4422, 1.3549 , Fatal
-0.4097, 0.9659 , Fatal
-0.2819, 1.3321 , Fatal
-0.4062, 1.1631 , Fatal
-0.4101, 0.7989 , Fatal
-0.3387, 1.0035 , Fatal
-0.3633, 1.2139 , Fatal
-0.4649, 0.8844 , Fatal
-0.3892, 0.9017 , Fatal
-0.3975, 0.8782 , Fatal
-0.3027, 1.2450 , Fatal
-0.3666, 1.3510 , Fatal
-0.3400, 1.0415 , Fatal
-0.4515, 0.9659 , Fatal
-0.3866, 0.4886 , Fatal
-0.2996, 0.9270 , Fatal
-0.4209, 0.8394 , Fatal
-0.3911, 1.1463 , Fatal
-0.3089, 1.2303 , Fatal
-0.4105, 1.2086 , Fatal
-0.3417, 1.1287 , Fatal
-0.4154, 1.0503 , Fatal
-0.2944, 0.8808 , Fatal
-0.3245, 0.9119 , Fatal
-0.3657, 1.1531 , Ok
-0.4746, 1.0266 , Fatal
-0.3786, 1.0025 , Ok
-0.3560, 1.0777 , Fatal
-0.3701, 1.0839 , Fatal
-0.3710, 1.1190 , Fatal
-0.3714, 0.8280 , Fatal
-0.4691, 0.9343 , Fatal
-0.3909, 1.0902 , Fatal
-0.2460, 1.0879 , Fatal
-0.3592, 0.7906 , Fatal
-0.4087, 1.1182 , Fatal
-0.4228, 1.2006 , Fatal
-0.3634, 0.8050 , Fatal
-0.3444, 1.2027 , Fatal
-0.3803, 1.0649 , Fatal
-0.3507, 1.1756 , Ok
-0.3673, 1.0578 , Ok
-0.3686, 1.0593 , Fatal
-0.3781, 1.3683 , Fatal
-0.3440, 1.0188 , Fatal
-0.3356, 0.9739 , Fatal
-0.4006, 1.0123 , Fatal
-0.3133, 1.2541 , Fatal
-0.3841, 1.4006 , Fatal
-0.3282, 1.2683 , Fatal
-0.3552, 0.7690 , Fatal
-0.3488, 0.9009 , Fatal
-0.3786, 1.3526 , Fatal
-0.3096, 0.7713 , Fatal
-0.4050, 1.3244 , Fatal
-0.3356, 0.8016 , Fatal
-0.3965, 1.1452 , Fatal
-0.3807, 0.7387 , Fatal
-0.3533, 1.3276 , Fatal
-0.4432, 1.0716 , Fatal
-0.3490, 1.1261 , Fatal
-0.3876, 0.9860 , Fatal
-0.4286, 1.1005 , Fatal
-0.3735, 1.1032 , Fatal
-0.4135, 0.7786 , Fatal
-0.3722, 1.0306 , Fatal
-0.3464, 0.9668 , Fatal
-0.3933, 1.1428 , Ok
-0.3600, 1.3150 , Fatal
-0.3911, 0.9014 , Fatal
-0.3547, 1.0660 , Fatal
-0.3887, 1.2341 , Fatal
-0.3731, 1.1755 , Ok
-0.4433, 1.0969 , Fatal
-0.4300, 1.0503 , Fatal
-0.3544, 1.0715 , Fatal
-0.3906, 1.0156 , Fatal
-0.3236, 1.3633 , Fatal
-0.3113, 1.0590 , Fatal
-0.3952, 1.1142 , Fatal
-0.3655, 0.7535 , Fatal
-0.3726, 1.0520 , Fatal
-0.4027, 0.7707 , Fatal
-0.3646, 0.8935 , Fatal
-0.4560, 0.8813 , Fatal
-0.3769, 1.0634 , Fatal
-0.3609, 1.1145 , Fatal
-0.3112, 0.8745 , Fatal
-0.4508, 0.9498 , Fatal
-0.3673, 1.2656 , Fatal
-0.3804, 1.1101 , Fatal
-0.3945, 1.2042 , Fatal
-0.3906, 0.9321 , Fatal
-0.3479, 1.0365 , Fatal
-0.1222, 4.3621 , Ok
-0.6539, 1.5308 , Ok
0.9103, 7.7669 , Ok
-0.3511, 8.7073 , Ok
-0.5752, 9.9022 , Ok
0.6170, 9.4745 , Ok
-0.6118, 1.7559 , Ok
0.3811, 0.5508 , Ok
-0.6308, 1.2386 , Ok
-0.1632, 9.7544 , Ok
-0.3214, 9.3477 , Ok
0.6560, 2.6749 , Ok
-0.0803, 7.7112 , Ok
0.9526, 3.9290 , Ok
-0.6484, 4.7048 , Ok
-0.0163, 5.0252 , Ok
-0.3464, 6.3775 , Fatal
0.5110, 9.2784 , Ok
0.7401, 2.6101 , Ok
-0.6885, 3.5987 , Ok
0.3855, 8.0885 , Fatal
-0.2248, 1.4676 , Ok
0.3092, 7.5318 , Ok
0.8802, 9.2698 , Fatal
-0.6119, 0.4327 , Ok
0.2251, 0.1494 , Ok
-0.8772, 3.1984 , Ok
0.5660, 3.3528 , Fatal
-0.3874, 0.4569 , Ok
0.2767, 4.5853 , Ok
0.0703, 3.5879 , Ok
-0.5761, 5.5352 , Ok
0.2375, 4.1644 , Ok
-0.5062, 5.1426 , Ok
-0.8911, 1.6273 , Ok
0.7519, 5.4093 , Ok
-0.8030, 7.9029 , Ok
0.9794, 7.7629 , Fatal
0.2650, 0.1385 , Fatal
-0.0663, 5.0877 , Ok
0.8966, 3.4139 , Fatal
0.8520, 9.4149 , Ok
0.3655, 7.7742 , Ok
0.7842, 7.2104 , Fatal
0.0067, 8.2464 , Ok
-0.3076, 4.9163 , Fatal
-0.2087, 6.1202 , Ok
0.0257, 4.9729 , Fatal
-0.5343, 7.2742 , Ok
-0.5210, 6.8428 , Ok
0.0264, 9.1798 , Ok
0.0067, 9.1513 , Ok
0.0431, 9.1095 , Ok
-0.0178, 9.4780 , Ok
0.0603, 9.1261 , Ok
-0.0094, 9.4146 , Ok
0.0541, 9.0364 , Ok
0.0804, 9.3144 , Ok
0.0029, 9.1676 , Ok
0.0567, 9.0858 , Fatal
-0.0358, 9.4420 , Ok
0.0364, 9.2403 , Ok
-0.0008, 9.5753 , Ok
-0.0071, 9.2878 , Ok
0.0461, 9.5663 , Ok
-0.0294, 9.2693 , Ok
-0.0600, 9.3811 , Ok
-0.0317, 9.0757 , Ok
0.0189, 8.9588 , Ok
0.0196, 8.9332 , Ok
0.0732, 9.0652 , Fatal
0.0511, 9.2991 , Ok
0.0768, 9.2388 , Ok
-0.0118, 9.0739 , Ok
0.0320, 9.3812 , Fatal
-0.0466, 9.4982 , Ok
0.0235, 9.1756 , Ok
0.0544, 9.7560 , Ok
0.0930, 9.4678 , Ok
0.0183, 9.1248 , Ok
0.0343, 9.3914 , Ok
0.0629, 8.8651 , Ok
0.0307, 9.3684 , Ok
-0.0337, 9.1478 , Ok
0.0710, 9.2891 , Ok
0.1032, 8.8673 , Ok
0.0558, 9.3617 , Ok
0.0295, 8.8770 , Ok
0.0064, 9.1698 , Ok
0.0765, 9.2397 , Ok
-0.0729, 9.2887 , Ok
0.0281, 9.2293 , Ok
0.0047, 9.4191 , Ok
-0.0507, 9.3149 , Ok
-0.0249, 8.9839 , Ok
0.0050, 9.0101 , Ok
-0.0225, 9.0041 , Ok
0.0244, 9.1821 , Ok
-0.0101, 9.3230 , Ok
0.0649, 9.3244 , Ok
0.0544, 9.0759 , Fatal
-0.0433, 9.1306 , Ok
-0.0410, 9.0444 , Ok
0.0701, 9.3773 , Ok
0.0934, 9.0932 , Ok
0.0304, 9.3746 , Ok
0.0422, 9.3221 , Ok
0.0614, 9.2440 , Ok
0.0280, 8.9868 , Ok
-0.0111, 9.1590 , Ok
-0.0025, 9.5424 , Ok
0.0733, 9.4021 , Ok
-0.0295, 9.2664 , Ok
0.0867, 9.4809 , Ok
0.0145, 8.7366 , Ok
-0.0328, 9.2994 , Ok
-0.0073, 9.1625 , Ok
0.0898, 9.2287 , Ok
0.0511, 9.5301 , Ok
-0.0308, 9.1770 , Ok
0.0718, 9.3554 , Ok
0.0670, 8.9087 , Fatal
0.0705, 9.1383 , Ok
0.0205, 9.5946 , Ok
-0.0530, 9.2122 , Ok
0.0005, 9.3309 , Ok
0.0828, 9.3275 , Ok
0.0299, 9.2359 , Ok
0.0054, 9.3778 , Ok
0.0365, 9.4639 , Ok
-0.0547, 9.1289 , Ok
0.0597, 8.9993 , Ok
0.0084, 9.3978 , Ok
0.0143, 9.2221 , Ok
0.0568, 9.3307 , Ok
-0.0458, 9.1761 , Ok
0.0054, 9.2234 , Ok
-0.0365, 9.3298 , Ok
-0.0151, 9.2582 , Ok
0.0288, 9.4276 , Ok
-0.0042, 8.9891 , Ok
0.0131, 8.9870 , Ok
0.0162, 9.1640 , Ok
0.0509, 9.1540 , Ok
0.0061, 9.3009 , Ok
0.0296, 9.4293 , Ok
0.0011, 9.1654 , Ok
0.0056, 8.8130 , Fatal
0.0563, 9.6243 , Ok
-0.0354, 9.0455 , Ok
0.7347, 2.4562 , Ok
0.4628, 3.3252 , Ok
-0.1992, 9.9613 , Ok
-0.0496, 3.0580 , Fatal
0.3771, 2.3115 , Ok
0.8446, 5.7516 , Fatal
0.1107, 4.3613 , Ok
0.3957, 3.9504 , Fatal
0.6925, 8.9991 , Fatal
-0.2753, 5.0679 , Ok
-0.3227, 8.8738 , Fatal
0.3559, 9.9905 , Ok
-0.7005, 6.3090 , Ok
0.5924, 7.5002 , Fatal
0.6618, 8.0945 , Ok
0.8330, 9.1869 , Fatal
0.7325, 8.2102 , Fatal
-0.2963, 6.0837 , Fatal
0.4841, 7.9200 , Ok
-0.8098, 4.4014 , Fatal
0.9206, 5.1495 , Ok
-0.8767, 1.5511 , Ok
-0.3373, 8.8012 , Ok
-0.2419, 4.7209 , Fatal
-0.7957, 4.0417 , Ok
0.2818, 4.8840 , Ok
0.2917, 1.4187 , Fatal
0.8733, 2.4946 , Fatal
-0.9559, 0.9435 , Fatal
-0.3500, 0.2772 , Ok
0.2481, 6.6026 , Ok
-0.3135, 0.9115 , Fatal
0.0624, 8.9885 , Fatal
-0.6570, 6.0005 , Fatal
0.0210, 5.9090 , Fatal
-0.3699, 6.8597 , Fatal
0.0002, 4.4261 , Ok
0.8727, 0.2576 , Ok
0.9206, 2.4316 , Ok
0.2543, 8.1037 , Ok
-0.3931, 0.2108 , Fatal
0.6056, 3.0682 , Ok
0.4022, 2.4299 , Ok
-0.0278, 6.2458 , Ok
0.2000, 8.4926 , Ok
0.2427, 4.5452 , Ok
-0.6932, 2.6742 , Ok
-0.2680, 1.9006 , Fatal
0.6995, 6.6131 , Ok
-0.0344, 8.5051 , Ok
-0.3946, 3.5011 , Fatal
-0.3808, 3.0523 , Ok
-0.3224, 3.2269 , Ok
-0.3233, 3.2974 , Ok
-0.3634, 3.4383 , Ok
-0.3912, 3.3645 , Ok
-0.3854, 3.0326 , Ok
-0.4145, 3.2831 , Ok
-0.3460, 3.2120 , Fatal
-0.3216, 3.4087 , Ok
-0.4334, 3.3335 , Ok
-0.3544, 3.3096 , Ok
-0.2986, 3.4822 , Ok
-0.3896, 2.8137 , Ok
-0.3337, 3.3394 , Ok
-0.3781, 3.3846 , Ok
-0.3590, 3.5269 , Ok
-0.3589, 3.2974 , Ok
-0.4043, 3.2966 , Ok
-0.3631, 3.3303 , Ok
-0.3492, 3.3033 , Ok
-0.3962, 3.7679 , Ok
-0.3796, 3.6081 , Ok
-0.3783, 3.5269 , Ok
-0.3577, 3.2872 , Ok
-0.2879, 3.4382 , Ok
-0.4176, 3.3804 , Ok
-0.3866, 3.3424 , Ok
-0.3709, 3.0759 , Ok
-0.4077, 3.7631 , Ok
-0.3832, 2.9921 , Ok
-0.3652, 3.5458 , Ok
-0.2910, 3.1445 , Ok
-0.4023, 3.3856 , Ok
-0.3434, 3.0250 , Ok
-0.3768, 3.5240 , Fatal
-0.3492, 3.2198 , Ok
-0.3322, 3.4667 , Ok
-0.3589, 3.1624 , Ok
-0.3745, 3.3472 , Ok
-0.3342, 2.9908 , Ok
-0.3726, 3.1481 , Ok
-0.3759, 3.5406 , Ok
-0.3182, 3.1357 , Ok
-0.3650, 2.9146 , Ok
-0.3794, 3.5483 , Ok
-0.3644, 2.9049 , Ok
-0.3602, 3.5468 , Ok
-0.4356, 3.6951 , Ok
-0.4496, 3.6794 , Ok
-0.3137, 2.9723 , Ok
-0.3550, 3.4319 , Ok
-0.3141, 3.3674 , Ok
-0.4178, 3.3638 , Ok
-0.3831, 3.1690 , Ok
-0.3886, 3.4375 , Ok
-0.3625, 3.5670 , Ok
-0.3922, 3.4209 , Ok
-0.3469, 3.2570 , Ok
-0.3183, 2.8366 , Ok
-0.3267, 3.3928 , Ok
-0.3351, 3.2658 , Ok
-0.3220, 3.3808 , Ok
-0.3512, 3.3622 , Ok
-0.3767, 3.2588 , Ok
-0.3456, 3.3704 , Ok
-0.3652, 3.4568 , Ok
-0.4297, 3.4272 , Ok
-0.4072, 3.2907 , Ok
-0.3960, 3.2098 , Ok
-0.3635, 3.3348 , Ok
-0.4181, 3.6951 , Ok
-0.3589, 3.1251 , Ok
-0.3473, 3.4407 , Ok
-0.4109, 3.3626 , Ok
-0.3447, 3.2353 , Ok
-0.3630, 3.3822 , Ok
-0.3938, 3.7528 , Ok
-0.3587, 3.3756 , Ok
-0.3148, 3.2106 , Ok
-0.3701, 3.5263 , Ok
-0.4206, 3.2169 , Ok
-0.3734, 3.3064 , Ok
-0.2938, 3.3320 , Ok
-0.3709, 3.3444 , Ok
-0.3270, 3.3613 , Ok
-0.4083, 3.3636 , Ok
-0.3777, 3.1405 , Ok
-0.3985, 3.4784 , Ok
-0.3485, 3.7240 , Ok
-0.3497, 3.2535 , Fatal
-0.4015, 3.0803 , Ok
-0.3695, 3.2864 , Ok
-0.3155, 3.6908 , Ok
-0.3422, 2.7968 , Ok
-0.4028, 3.6056 , Ok
-0.3335, 3.2194 , Ok
-0.3606, 3.3377 , Ok
-0.3904, 3.3611 , Ok
-0.3556, 3.4240 , Ok
0.7041, 3.2409 , Fatal
-0.0918, 8.0877 , Ok
0.0934, 8.2815 , Fatal
-0.3193, 6.6850 , Ok
0.1802, 0.2285 , Fatal
0.4885, 4.1749 , Fatal
0.8313, 2.2966 , Ok
-0.5019, 2.8467 , Ok
0.7744, 1.6298 , Ok
0.2202, 9.4258 , Ok
-0.9575, 9.6035 , Ok
-0.7789, 5.8540 , Ok
0.8340, 3.1870 , Fatal
-0.7853, 5.7330 , Ok
0.1670, 3.7402 , Ok
0.9426, 6.9422 , Ok
0.0793, 9.9964 , Fatal
-0.6801, 7.9088 , Ok
-0.7250, 8.9828 , Fatal
-0.4711, 4.4109 , Ok
-0.1039, 5.3983 , Fatal
0.7938, 6.0961 , Fatal
-0.7438, 2.3574 , Ok
-0.5024, 5.6274 , Ok
-0.8402, 7.4218 , Fatal
0.6831, 2.0083 , Fatal
0.2787, 1.7489 , Fatal
0.3854, 0.1324 , Ok
0.8536, 6.6074 , Fatal
-0.5927, 7.4608 , Ok
-0.8142, 2.2877 , Ok
0.9196, 3.7824 , Ok
0.1175, 7.5003 , Ok
-0.7429, 0.0822 , Fatal
-0.1273, 6.2445 , Ok
0.9562, 2.6815 , Fatal
-0.5729, 8.0621 , Ok
0.5769, 3.7770 , Fatal
-0.1024, 7.8432 , Fatal
0.4807, 4.1607 , Fatal
0.6882, 9.5518 , Ok
0.5029, 5.7864 , Ok
0.2321, 0.0800 , Ok
-0.5643, 4.7300 , Fatal
-0.4713, 9.7676 , Fatal
-0.0032, 0.6521 , Ok
0.5757, 3.7967 , Ok
0.8260, 2.2789 , Ok
0.3978, 1.9595 , Ok
0.8156, 7.6404 , Ok
