a,b,c,LABEL
0.8181, 9.7733, 638.5195 , Ok
0.3527, 1.9267, 635.1417 , Fatal
0.1673, 6.4459, 361.3932 , Ok
-0.1272, 5.4777, 634.5850 , Fatal
0.1381, 5.6051, 866.5167 , Ok
0.7461, 5.3549, 201.7879 , Fatal
0.0802, 8.4268, 712.8276 , Ok
0.5010, 3.4654, 922.7531 , Ok
-0.8689, 8.0253, 505.9068 , Fatal
0.8668, 4.2496, 118.0638 , Fatal
0.0507, 1.6603, 197.7039 , Fatal
-0.9497, 7.5711, 632.3716 , Ok
0.9784, 7.9055, 548.4780 , Ok
-0.3398, 1.2173, 894.8118 , Ok
-0.3824, 1.3839, 879.0819 , Ok
-0.3214, 1.0410, 902.1553 , Ok
-0.2957, 0.9747, 914.2756 , Ok
-0.3594, 1.3346, 875.9943 , Ok
-0.3575, 1.3909, 938.1435 , Ok
-0.3119, 1.2076, 881.9973 , Ok
-0.4029, 1.6422, 904.8667 , Ok
-0.3722, 1.1818, 931.6179 , Ok
-0.3722, 0.8784, 880.1335 , Ok
-0.3317, 1.5559, 901.6838 , Ok
-0.3776, 1.3289, 922.4205 , Ok
-0.3773, 1.1102, 883.3995 , Ok
-0.2912, 1.2596, 931.8069 , Ok
-0.3297, 1.2175, 887.7500 , Ok
-0.3520, 1.1185, 899.8217 , Ok
-0.4188, 1.0582, 899.1917 , Fatal
-0.3038, 1.3273, 913.8817 , Ok
-0.4158, 0.9104, 875.6519 , Ok
-0.3983, 1.3990, 899.9252 , Ok
-0.3512, 1.2358, 894.7498 , Fatal
-0.3569, 1.2446, 873.0397 , Ok
-0.4061, 1.6600, 926.5967 , Ok
-0.2839, 1.3091, 897.7894 , Ok
-0.3013, 1.3777, 909.5311 , Ok
-0.3258, 1.2787, 907.4879 , Ok
-0.3522, 1.2225, 922.7376 , Fatal
-0.3432, 1.6025, 919.6380 , Ok
-0.3345, 1.5637, 891.8464 , Ok
-0.3664, 1.4790, 876.8502 , Ok
-0.4148, 1.2228, 921.0093 , Ok
-0.2880, 1.2838, 890.6227 , Ok
-0.3991, 0.8311, 864.8916 , Ok
-0.3561, 1.4497, 891.7524 , Ok
-0.3461, 1.3653, 901.9612 , Ok
-0.3560, 1.2514, 886.7897 , Ok
-0.3960, 1.4685, 905.3429 , Ok
-0.3427, 1.3969, 894.3234 , Ok
-0.3928, 1.7897, 865.5158 , Ok
-0.3239, 1.2004, 890.5402 , Ok
-0.3069, 1.1665, 912.4277 , Ok
-0.3964, 1.1662, 902.5884 , Ok
-0.3807, 1.5499, 898.9354 , Ok
-0.3494, 1.1826, 940.3757 , Ok
-0.3684, 1.3189, 889.2934 , Ok
-0.3935, 0.8755, 893.0570 , Ok
-0.3461, 1.0083, 880.2677 , Ok
-0.3434, 1.3091, 901.6463 , Ok
-0.3983, 1.3366, 871.8984 , Ok
-0.3758, 1.1834, 906.1579 , Ok
-0.3883, 1.5698, 872.3254 , Ok
-0.3513, 1.3921, 868.5596 , Ok
-0.3510, 1.4279, 908.9101 , Ok
-0.3385, 1.0469, 899.9839 , Ok
-0.3758, 1.2452, 876.3118 , Ok
-0.3172, 1.2768, 879.7635 , Ok
-0.3891, 1.4046, 899.6672 , Ok
-0.4292, 0.9692, 899.7476 , Ok
-0.3241, 1.1852, 943.8281 , Ok
-0.3725, 1.0161, 943.0181 , Ok
-0.4260, 1.1819, 902.4410 , Ok
-0.3551, 1.6018, 894.4603 , Ok
-0.2894, 1.1623, 888.0211 , Ok
-0.3761, 1.7092, 870.9570 , Ok
-0.3642, 1.1041, 904.7049 , Ok
-0.4131, 1.2577, 930.0747 , Ok
-0.3169, 1.2556, 900.9017 , Ok
-0.3345, 1.1761, 885.3398 , Ok
-0.3049, 1.4799, 918.6478 , Ok
-0.3325, 1.5648, 890.6765 , Ok
-0.3875, 1.0635, 925.0336 , Fatal
-0.3173, 1.2581, 891.3171 , Ok
-0.3698, 1.7794, 920.5104 , Ok
-0.3916, 1.3913, 916.3137 , Ok
-0.3911, 1.2983, 898.0686 , Ok
-0.3281, 1.4241, 921.1514 , Ok
-0.3265, 1.4110, 936.1219 , Ok
-0.2729, 1.0426, 879.1167 , Ok
-0.3527, 1.4490, 938.2422 , Ok
-0.3417, 1.2785, 858.8139 , Ok
-0.3554, 1.2156, 910.2638 , Ok
-0.3318, 1.1087, 898.6469 , Ok
-0.3226, 1.3138, 913.1422 , Ok
-0.4069, 1.2863, 914.8208 , Ok
-0.3154, 1.4506, 917.0578 , Ok
-0.3756, 1.3654, 904.4776 , Ok
-0.4148, 1.5190, 907.4020 , Ok
-0.2793, 1.1108, 918.6857 , Ok
-0.3607, 0.9966, 864.6541 , Ok
-0.3184, 1.2951, 894.7827 , Ok
-0.3660, 1.4498, 882.5835 , Ok
-0.3296, 1.2835, 863.5466 , Ok
-0.3548, 1.0933, 890.8998 , Ok
-0.3243, 1.3038, 911.9531 , Ok
-0.4116, 1.2152, 872.2880 , Ok
-0.2947, 1.0791, 902.9018 , Ok
-0.3706, 1.4420, 901.5258 , Ok
-0.4333, 1.2836, 899.1061 , Ok
-0.3756, 1.4602, 919.4718 , Ok
-0.4037, 1.2539, 893.1221 , Ok
0.8501, 1.8351, 453.4930 , Fatal
-0.3199, 5.9357, 832.1912 , Ok
-0.0628, 3.1915, 154.7082 , Ok
-0.6966, 5.1756, 281.1978 , Ok
-0.8220, 5.2829, 876.2107 , Ok
0.2815, 3.4222, 89.5470 , Ok
-0.0682, 1.3110, 665.5030 , Fatal
0.0579, 1.2622, 256.5268 , Ok
0.0659, 3.6054, 678.0646 , Fatal
0.9078, 0.2231, 654.8546 , Ok
0.8534, 6.9122, 340.5256 , Fatal
0.3966, 6.4868, 797.3549 , Ok
0.5277, 1.1096, 116.4899 , Ok
-0.7800, 3.8375, 715.5457 , Ok
0.1679, 4.4440, 906.3272 , Fatal
0.4714, 5.9570, 961.1533 , Ok
0.0684, 2.0355, 67.0305 , Fatal
0.9830, 2.5409, 560.5845 , Fatal
0.2153, 4.7952, 411.9889 , Ok
0.7980, 4.5720, 430.7346 , Ok
-0.9355, 4.8811, 189.1692 , Fatal
0.0623, 3.4746, 613.2647 , Ok
0.9495, 0.3357, 45.6701 , Ok
0.1948, 8.7071, 576.9948 , Fatal
-0.1325, 2.6624, 424.0299 , Ok
0.8002, 8.2661, 982.4194 , Fatal
-0.1922, 9.4876, 545.5043 , Ok
0.8233, 5.0823, 391.6644 , Ok
-0.2132, 9.8535, 404.1495 , Ok
-0.5402, 9.9485, 53.7905 , Fatal
0.0943, 8.3601, 567.6245 , Fatal
-0.9600, 7.6291, 972.0526 , Ok
0.0565, 7.2338, 773.0350 , Ok
-0.0096, 2.3036, 608.9895 , Ok
0.2594, 9.6276, 580.0158 , Fatal
0.8491, 2.1078, 390.4644 , Ok
-0.2025, 6.9795, 276.1884 , Ok
0.6330, 0.5241, 597.9730 , Fatal
-0.7721, 0.1533, 275.9299 , Ok
-0.9482, 2.3442, 239.6554 , Ok
0.7769, 6.7196, 598.9627 , Fatal
-0.1028, 9.9007, 120.4871 , Fatal
-0.1178, 6.4025, 654.0198 , Fatal
0.1410, 2.8679, 799.5583 , Ok
0.9342, 8.2620, 359.0745 , Ok
0.1292, 9.2142, 229.2342 , Ok
-0.7466, 4.6968, 740.0969 , Fatal
0.7105, 1.1550, 347.9202 , Ok
-0.8922, 2.4682, 201.9483 , Fatal
-0.8923, 2.3283, 911.3751 , Ok
0.0357, 3.3795, 315.5379 , Fatal
0.0472, 3.6253, 321.8052 , Fatal
0.0335, 3.0496, 312.0983 , Fatal
0.0205, 3.2501, 312.6029 , Fatal
0.0546, 3.5270, 333.0639 , Fatal
0.0225, 3.0521, 325.2904 , Fatal
0.0410, 3.3555, 320.7910 , Fatal
0.0165, 3.5457, 338.8870 , Fatal
0.0581, 3.5538, 339.2774 , Fatal
0.0773, 3.3665, 362.3233 , Fatal
-0.0309, 3.4290, 317.5267 , Fatal
-0.0640, 3.2345, 327.6948 , Fatal
-0.0316, 3.6178, 309.2483 , Ok
0.0532, 3.4784, 361.6962 , Fatal
0.0427, 3.3767, 334.8487 , Fatal
0.0177, 3.0883, 323.2461 , Ok
0.0126, 3.1529, 313.7091 , Fatal
-0.0376, 3.1284, 316.6433 , Fatal
0.0410, 3.4424, 370.8745 , Fatal
0.0004, 3.1368, 347.1113 , Fatal
-0.0161, 3.4248, 354.0636 , Ok
0.0355, 3.1937, 299.2473 , Fatal
0.0601, 3.2056, 347.4171 , Fatal
0.0252, 3.1850, 345.6111 , Fatal
0.0146, 3.3175, 344.6137 , Fatal
0.1136, 3.6961, 371.7782 , Fatal
0.0330, 3.5736, 329.4335 , Fatal
0.0747, 3.3371, 346.3822 , Fatal
-0.0050, 3.5164, 323.3664 , Fatal
0.0496, 3.6458, 354.2162 , Fatal
0.0450, 3.8278, 365.7804 , Fatal
0.0343, 3.2868, 307.7559 , Fatal
0.0395, 3.5253, 330.4815 , Fatal
0.0669, 3.3201, 293.0629 , Fatal
0.0884, 3.3906, 325.1298 , Ok
0.0672, 3.3526, 332.3109 , Ok
0.0552, 3.3274, 327.8415 , Fatal
0.0584, 3.0190, 345.2329 , Ok
0.0703, 3.4386, 321.2584 , Fatal
0.0838, 3.4688, 356.4253 , Fatal
0.0818, 3.3833, 319.1568 , Fatal
0.0013, 3.3603, 316.0891 , Fatal
0.0147, 3.2206, 315.6575 , Fatal
0.0572, 3.4417, 355.3101 , Fatal
0.0716, 3.3505, 332.1186 , Fatal
0.0959, 3.0973, 323.7514 , Fatal
0.0629, 3.2352, 342.4775 , Fatal
0.0189, 3.5457, 339.3655 , Fatal
0.0924, 3.6697, 313.3452 , Fatal
0.0632, 3.5718, 325.9859 , Fatal
0.0401, 3.3683, 343.6224 , Fatal
-0.0259, 3.1224, 344.4789 , Fatal
-0.0405, 3.1895, 348.4369 , Fatal
0.0743, 3.2933, 322.7879 , Fatal
0.0782, 3.4456, 365.3389 , Fatal
0.0295, 3.4214, 273.3789 , Fatal
-0.0128, 3.3052, 323.2185 , Fatal
0.1104, 3.1291, 334.3088 , Fatal
0.0558, 3.2709, 325.9774 , Fatal
0.0266, 2.9229, 339.9321 , Fatal
0.1154, 3.3026, 329.2406 , Fatal
0.0116, 3.1774, 276.0333 , Fatal
0.0112, 3.2049, 324.2350 , Fatal
0.0339, 3.0740, 324.8816 , Fatal
0.0824, 3.5616, 331.0247 , Fatal
0.1094, 3.3231, 340.5618 , Fatal
0.0523, 3.5507, 340.1855 , Fatal
0.0279, 3.6910, 356.3908 , Ok
0.0427, 3.2854, 308.9651 , Fatal
0.0198, 3.6735, 338.7836 , Fatal
0.0941, 3.5816, 330.1097 , Fatal
0.0464, 3.3159, 330.9194 , Fatal
0.0441, 3.2327, 314.1226 , Fatal
0.0672, 3.1301, 359.4943 , Fatal
0.0794, 3.4998, 368.5672 , Fatal
0.0198, 3.3295, 326.8249 , Fatal
0.0333, 3.2558, 349.3481 , Fatal
0.0701, 3.7571, 318.2030 , Fatal
0.1007, 3.3887, 355.2484 , Fatal
0.0415, 3.2250, 356.9645 , Fatal
0.0194, 3.8596, 338.0827 , Fatal
0.0402, 3.5620, 329.1134 , Fatal
0.1355, 3.5026, 329.6991 , Fatal
-0.0151, 3.0911, 328.3654 , Fatal
0.0624, 3.4393, 314.9104 , Fatal
0.0187, 3.4650, 320.7385 , Fatal
0.0337, 3.5132, 339.9121 , Fatal
0.0559, 3.4320, 344.4426 , Fatal
0.1083, 3.2199, 317.3228 , Fatal
0.0427, 3.3604, 322.6079 , Fatal
0.0037, 3.0949, 332.5285 , Fatal
0.1079, 3.2873, 309.0356 , Fatal
0.0625, 3.3223, 366.6705 , Fatal
0.0549, 3.1263, 317.0122 , Fatal
0.0132, 3.4052, 274.7845 , Fatal
0.0893, 3.3137, 320.7038 , Fatal
0.0596, 3.4796, 351.3030 , Fatal
0.0428, 3.4717, 378.0712 , Fatal
0.0091, 3.0506, 336.5893 , Ok
0.0474, 3.1898, 322.9761 , Fatal
-0.7767, 6.2483, 705.3576 , Ok
0.8496, 5.7684, 438.2350 , Fatal
-0.7595, 9.1838, 641.9993 , Ok
-0.0443, 9.5507, 246.3300 , Ok
-0.0402, 9.2177, 575.7022 , Ok
0.5315, 1.6905, 991.9577 , Fatal
0.2698, 3.1773, 616.9061 , Ok
0.9295, 3.2982, 311.2002 , Ok
-0.0475, 3.1121, 960.0628 , Ok
-0.2068, 9.3322, 377.5987 , Ok
0.1795, 7.1315, 871.4037 , Ok
-0.4863, 0.9181, 774.9315 , Fatal
-0.2333, 8.8302, 879.4233 , Ok
-0.0895, 8.8685, 173.1290 , Ok
-0.4103, 5.4648, 153.4430 , Fatal
-0.8916, 0.0180, 357.6127 , Ok
0.4853, 8.7315, 40.5912 , Ok
-0.5502, 7.5982, 896.9433 , Ok
-0.5417, 4.2218, 913.3083 , Fatal
-0.1854, 1.8750, 700.9270 , Ok
0.5053, 1.1247, 246.2355 , Fatal
0.2679, 2.9033, 142.3968 , Fatal
-0.9464, 9.9893, 863.2852 , Ok
0.9686, 8.7489, 829.4063 , Ok
0.4972, 8.6668, 161.2597 , Ok
-0.4270, 0.2514, 467.0026 , Fatal
-0.4484, 0.9791, 196.3375 , Ok
-0.5640, 3.7585, 266.8306 , Ok
-0.8849, 5.5036, 552.1961 , Ok
0.1259, 4.2937, 512.7821 , Ok
-0.9994, 3.2659, 895.3453 , Ok
0.0659, 5.0140, 612.5088 , Fatal
0.0799, 9.9267, 371.2849 , Fatal
-0.1452, 3.5848, 665.2823 , Fatal
0.0045, 0.4365, 602.2974 , Ok
-0.1017, 7.3315, 238.6115 , Ok
0.3333, 3.9648, 247.7744 , Ok
0.5872, 5.6713, 950.3883 , Fatal
0.1139, 6.2867, 334.2832 , Fatal
0.2526, 8.5716, 619.7453 , Fatal
0.2943, 9.4710, 165.0971 , Ok
-0.6093, 4.6291, 208.4248 , Fatal
0.4381, 8.6419, 609.5614 , Fatal
0.5185, 6.1988, 233.0346 , Ok
0.1191, 4.4372, 24.0511 , Ok
-0.4426, 8.9091, 652.0068 , Ok
-0.6430, 5.8493, 590.2469 , Ok
-0.0236, 8.5388, 623.2244 , Ok
0.5067, 5.1318, 130.2829 , Ok
0.3642, 1.4211, 265.6647 , Ok
0.4132, 8.8226, 774.1239 , Ok
0.4212, 9.3417, 792.5244 , Ok
0.4130, 9.2528, 763.6588 , Ok
0.3948, 9.2471, 727.0460 , Ok
0.3642, 9.4342, 740.0937 , Ok
0.3684, 9.1956, 740.0341 , Ok
0.4261, 9.1350, 747.8740 , Ok
0.3916, 9.3278, 692.6296 , Ok
0.3622, 8.9796, 744.5229 , Ok
0.3947, 9.0414, 753.3407 , Ok
0.5121, 9.2326, 747.7948 , Ok
0.5222, 9.3070, 755.0385 , Ok
0.3357, 9.3149, 744.6046 , Ok
0.3648, 9.4071, 685.6311 , Ok
0.4418, 9.5327, 726.2435 , Ok
0.4267, 9.6724, 723.1862 , Ok
0.3714, 9.0305, 723.6459 , Ok
0.4344, 9.3939, 740.4235 , Ok
0.3868, 9.6908, 730.0555 , Ok
0.3855, 8.8581, 720.3689 , Ok
0.4712, 9.0683, 741.0938 , Ok
0.4051, 9.2559, 718.4208 , Ok
0.4141, 9.4024, 735.5775 , Ok
0.3666, 9.4512, 723.6074 , Ok
0.3631, 9.5482, 728.7373 , Ok
0.4459, 9.5514, 751.5022 , Ok
0.3751, 9.3477, 719.8631 , Ok
0.3955, 9.5163, 712.4734 , Ok
0.3738, 9.2653, 752.4517 , Ok
0.4030, 9.7004, 712.1247 , Ok
0.3885, 9.4810, 704.5649 , Fatal
0.4173, 9.5047, 690.2605 , Ok
0.3959, 8.9837, 759.0551 , Ok
0.4501, 9.1770, 723.3137 , Ok
0.3144, 8.9300, 735.8765 , Ok
0.4032, 9.2068, 733.1658 , Fatal
0.3782, 9.6222, 764.4631 , Ok
0.3899, 9.2844, 750.8974 , Ok
0.4893, 9.3490, 709.8563 , Ok
0.4752, 9.3792, 729.0154 , Ok
0.3932, 9.5021, 725.1333 , Fatal
0.3496, 9.1535, 793.9092 , Ok
0.4920, 9.4508, 710.6704 , Ok
0.3757, 8.9365, 719.1424 , Ok
0.4474, 8.9460, 733.8258 , Ok
0.4249, 9.0701, 704.3511 , Ok
0.4220, 9.3829, 733.4633 , Ok
0.4055, 9.2333, 741.8719 , Ok
0.4373, 9.1862, 725.4232 , Ok
0.4360, 9.3913, 752.3315 , Ok
0.4287, 9.2736, 735.9393 , Ok
0.3976, 9.4640, 753.0625 , Ok
0.3371, 9.3761, 719.2941 , Ok
0.4573, 9.3672, 748.5859 , Ok
0.3677, 9.0556, 681.9734 , Ok
0.4078, 8.9457, 726.2855 , Ok
0.4095, 9.2851, 737.7148 , Ok
0.4478, 9.1960, 713.9141 , Ok
0.4762, 9.2304, 727.9994 , Ok
0.5240, 9.3026, 751.7175 , Ok
0.3894, 9.2463, 726.9649 , Ok
0.3947, 9.0335, 715.5395 , Ok
0.4233, 9.5066, 709.6360 , Ok
0.4021, 9.5457, 722.6049 , Ok
0.4132, 9.2889, 743.8927 , Ok
0.4545, 9.3953, 747.8984 , Ok
0.3953, 9.5202, 730.4010 , Ok
0.3394, 8.9739, 741.3700 , Ok
0.4095, 9.1636, 741.5472 , Ok
0.3703, 9.1861, 727.6098 , Ok
0.3511, 9.5819, 723.7242 , Ok
0.4127, 9.1394, 764.0639 , Ok
0.4111, 9.0001, 737.8442 , Ok
0.4895, 9.2116, 748.6671 , Ok
0.4655, 9.3317, 724.9528 , Ok
0.4978, 9.4491, 739.5143 , Ok
0.3865, 9.2527, 710.9940 , Fatal
0.4326, 9.4335, 780.8379 , Ok
0.4167, 9.0075, 734.7575 , Ok
0.3906, 9.1797, 751.5854 , Fatal
0.4327, 9.3363, 728.4348 , Fatal
0.4006, 9.3068, 736.1553 , Ok
0.3587, 9.3451, 713.9826 , Ok
0.4245, 9.5275, 767.6973 , Ok
0.4078, 9.2216, 765.9726 , Ok
0.3770, 9.4343, 766.6170 , Ok
0.3982, 9.6036, 739.7279 , Ok
0.4157, 9.3115, 726.3858 , Ok
0.3914, 9.1097, 713.7754 , Fatal
0.4272, 8.9453, 750.1616 , Ok
0.4197, 9.2909, 721.1906 , Ok
0.3924, 9.8148, 728.6547 , Ok
0.3811, 9.2853, 706.7403 , Fatal
0.4693, 9.3554, 748.0024 , Ok
0.4332, 9.1720, 713.8877 , Ok
0.4454, 9.1742, 728.4919 , Ok
0.4333, 9.0061, 768.9102 , Ok
0.3774, 8.9668, 742.9271 , Ok
0.4637, 9.3404, 738.6903 , Ok
0.4635, 9.3208, 727.7433 , Ok
-0.5964, 8.4745, 68.4571 , Ok
0.9016, 7.3483, 854.6210 , Ok
0.0624, 0.5077, 643.2403 , Ok
-0.7952, 4.4474, 528.8598 , Ok
0.9739, 6.4133, 480.5951 , Fatal
0.8147, 0.4596, 966.5254 , Fatal
0.7117, 8.1083, 522.4038 , Fatal
-0.6185, 2.1669, 651.0959 , Ok
-0.6091, 8.4969, 588.8583 , Ok
0.4332, 4.0515, 170.3902 , Ok
0.4286, 3.7714, 125.5361 , Ok
0.4687, 6.8391, 578.4318 , Fatal
0.9782, 0.1270, 64.4430 , Ok
0.9387, 9.1848, 837.8886 , Ok
0.6811, 2.1922, 849.9396 , Fatal
-0.0499, 8.3800, 139.8675 , Ok
0.3837, 7.2605, 387.7130 , Ok
0.3842, 2.5332, 701.5005 , Ok
-0.6029, 7.8216, 979.1426 , Fatal
-0.8452, 3.1719, 273.1259 , Ok
0.6194, 2.4787, 400.1847 , Fatal
0.1279, 4.6612, 495.1474 , Ok
-0.5487, 5.4841, 64.7047 , Fatal
0.8435, 6.5617, 912.0911 , Fatal
0.6684, 6.7335, 749.4090 , Ok
0.0315, 5.3784, 458.2385 , Fatal
-0.7144, 0.1038, 361.1347 , Fatal
0.5027, 2.3804, 357.2471 , Fatal
-0.1033, 5.0042, 154.8017 , Ok
-0.6560, 4.9066, 971.7701 , Ok
0.2367, 4.2145, 764.1498 , Fatal
0.6183, 8.2203, 944.2517 , Fatal
0.2901, 9.7484, 785.9761 , Fatal
-0.3653, 5.1339, 939.6898 , Ok
0.9975, 9.8609, 865.1175 , Ok
-0.5740, 3.4981, 359.6132 , Fatal
-0.7621, 6.1723, 899.8015 , Ok
-0.6710, 8.0330, 400.0373 , Ok
0.0042, 0.1067, 692.8509 , Fatal
-0.4575, 5.6250, 297.6700 , Fatal
-0.2257, 4.9452, 94.7863 , Fatal
0.6509, 0.3256, 370.9519 , Fatal
0.8641, 0.4620, 26.5796 , Ok
0.8122, 8.9355, 941.7963 , Fatal
0.1490, 4.7063, 421.6796 , Fatal
-0.1630, 2.9511, 543.0561 , Fatal
-0.2120, 7.4970, 953.8929 , Fatal
0.8059, 7.3099, 354.5046 , Ok
0.2029, 9.8459, 352.3182 , Ok
-0.5404, 3.7794, 221.7814 , Ok
-0.3908, 5.3231, 898.5602 , Ok
-0.3474, 5.2646, 906.5225 , Ok
-0.4282, 5.0838, 907.4387 , Ok
-0.3718, 5.3672, 886.9969 , Ok
-0.3205, 5.4582, 907.7954 , Ok
-0.4323, 5.2943, 913.0563 , Ok
-0.3988, 5.3020, 943.7239 , Ok
-0.4427, 5.2946, 887.6582 , Ok
-0.3722, 5.3907, 906.7368 , Ok
-0.3050, 5.1585, 923.1767 , Ok
-0.3421, 5.1721, 885.9104 , Ok
-0.3404, 5.3954, 906.6632 , Ok
-0.3602, 5.2839, 888.8652 , Ok
